time,in,out,camera_id,posture,alert
2025-09-15 23:47:29,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:30,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:30,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:30,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:31,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:31,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:31,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:32,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:32,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:32,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:33,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:33,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:33,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:33,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:34,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:34,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:34,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:35,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:35,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:35,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:36,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:36,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:36,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:37,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:37,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:37,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:38,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:38,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:38,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:38,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:39,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:39,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:39,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:40,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:40,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:40,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:41,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:41,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:41,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:42,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:42,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:42,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:43,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:43,0,0,store_front,Unknown,Inactivity
